"hour","x","y","twitter","instagram"
1,132,74,0,1
1,132,96,0,2
1,133,53,0,1
1,133,85,0,1
1,134,61,0,4
1,134,67,0,2
1,134,68,0,1
1,134,70,0,1
1,134,71,0,1
1,134,72,0,1
1,134,75,0,1
1,134,84,0,1
1,134,87,0,1
1,135,72,0,2
1,135,74,0,1
1,135,75,0,1
1,135,76,0,1
1,135,77,0,1
1,135,82,0,1
1,135,83,0,1
1,135,84,0,1
1,135,95,0,4
1,136,50,0,1
1,136,55,0,1
1,136,68,0,1
1,136,70,0,3
1,136,74,0,4
1,136,75,1,0
1,137,65,0,5
1,137,66,1,1
1,137,70,0,2
1,137,71,0,1
1,137,79,0,1
1,137,99,0,1
1,138,60,0,1
1,138,64,0,1
1,138,67,0,3
1,138,69,0,2
1,138,72,0,1
1,138,79,1,114
1,139,67,0,1
1,139,72,0,1
1,140,57,0,1
1,140,58,0,1
1,140,60,1,0
1,140,66,0,2
1,140,67,0,1
1,140,69,0,1
1,140,84,0,1
1,141,62,0,1
1,141,67,0,1
1,141,68,0,1
1,141,70,1,6
1,141,84,0,1
1,142,69,0,1
1,142,74,0,1
1,142,76,0,2
1,143,62,0,1
1,143,70,0,1
1,143,79,0,14
1,143,80,0,3
1,143,81,0,2
1,144,60,0,1
1,144,71,0,2
1,144,83,0,3
1,144,85,0,3
1,144,93,0,2
1,144,132,0,1
1,145,66,0,1
1,145,71,0,2
1,145,85,0,1
1,145,88,0,1
1,145,94,0,1
1,146,78,1,0
1,146,84,0,1
1,146,88,0,1
1,147,71,0,1
1,147,76,0,1
1,147,79,0,2
1,147,80,0,1
1,147,86,0,3
1,147,87,0,1
1,147,94,0,1
1,148,71,0,1
1,148,79,0,1
1,148,87,1,2
1,149,68,0,1
1,149,74,0,1
1,149,77,0,2
1,149,79,0,3
1,149,80,0,1
1,150,68,0,1
1,150,72,6,0
1,150,75,0,1
1,150,78,1,10
1,150,85,0,2
1,151,65,0,1
1,151,72,1,0
1,151,76,0,3
1,151,80,0,1
1,151,91,0,1
1,151,92,1,1
1,152,75,0,1
1,152,78,1,1
1,152,88,0,1
1,153,50,0,1
1,153,75,0,1
1,154,38,2,0
1,154,72,0,1
1,154,73,1,1
1,154,74,0,1
1,154,79,0,1
1,154,89,0,4
1,155,71,0,1
1,156,71,0,1
1,156,73,0,1
1,156,77,0,3
1,156,78,0,1
1,156,80,0,1
1,157,76,0,2
1,158,78,0,1
1,159,108,0,1
1,164,73,0,1
1,172,80,0,1
1,182,61,0,1
1,184,92,0,1
1,184,104,0,1
1,193,58,0,1
2,78,76,0,1
2,88,49,0,1
2,94,76,0,1
2,101,80,0,1
2,104,91,0,1
2,109,83,0,1
2,110,106,0,1
2,111,73,0,1
2,113,76,0,3
2,113,100,0,1
2,114,76,0,3
2,114,81,0,1
2,115,79,0,2
2,115,85,0,2
2,116,72,1,0
2,117,79,0,1
2,117,80,0,1
2,118,78,0,1
2,118,79,0,1
2,118,80,0,2
2,119,78,0,1
2,119,79,0,1
2,120,78,0,3
2,121,67,0,2
2,121,94,0,1
2,123,58,1,0
2,123,88,0,1
2,124,70,0,1
2,124,74,0,1
2,126,56,0,2
2,126,65,0,1
2,128,77,0,1
2,129,47,1,1
2,129,60,0,1
2,129,69,0,2
2,129,79,0,1
2,129,88,0,1
2,130,68,0,1
2,130,76,0,1
2,130,77,0,1
2,131,67,0,3
2,131,73,1,4
2,131,76,0,3
2,132,73,0,5
2,132,74,0,2
2,133,53,0,1
2,133,68,0,1
2,133,73,0,1
2,133,76,0,1
2,133,81,0,2
2,133,83,0,1
2,134,58,0,1
2,134,67,0,3
2,134,71,0,1
2,134,72,0,1
2,134,99,1,0
2,135,69,0,1
2,135,80,1,0
2,135,100,0,1
2,136,50,0,2
2,136,66,0,1
2,136,68,0,1
2,136,70,0,3
2,136,72,0,2
2,136,74,0,2
2,136,79,0,1
2,137,65,0,2
2,137,66,0,2
2,137,70,0,1
2,137,72,0,1
2,138,66,0,1
2,138,67,0,3
2,138,71,0,1
2,138,72,0,2
2,138,79,0,77
2,139,50,0,5
2,139,62,0,1
2,139,67,0,1
2,139,69,0,1
2,140,59,0,1
2,140,61,0,1
2,140,66,0,1
2,140,69,0,1
2,140,70,0,1
2,140,78,1,1
2,140,127,0,1
2,141,58,0,1
2,141,67,0,1
2,141,70,1,4
2,143,65,0,1
2,143,75,0,2
2,143,79,0,11
2,143,80,0,2
2,143,81,1,1
2,144,60,0,1
2,144,74,0,1
2,144,79,0,1
2,145,66,0,1
2,145,86,0,1
2,146,64,0,1
2,146,67,0,1
2,146,82,0,1
2,147,71,0,1
2,147,85,0,1
2,147,88,0,2
2,148,73,0,1
2,148,79,0,1
2,148,86,0,1
2,148,87,1,1
2,149,74,0,1
2,149,77,0,1
2,149,78,0,1
2,150,68,0,1
2,150,72,2,0
2,150,78,0,9
2,150,79,0,4
2,150,85,0,2
2,151,75,0,1
2,151,76,1,1
2,151,91,0,1
2,153,78,0,1
2,154,38,3,0
2,154,74,0,1
2,154,75,0,1
2,155,70,1,1
2,155,71,0,2
2,155,73,0,1
2,155,89,0,1
2,156,72,0,1
2,156,77,0,1
2,156,78,0,3
2,164,73,0,2
2,168,67,0,1
2,172,78,0,1
2,175,100,0,1
2,185,77,0,1
2,187,101,0,1
3,100,45,0,1
3,101,58,0,1
3,107,45,0,1
3,109,46,0,1
